"title","artist","year","num_words","id","duration_ms","popularity","danceability","energy","loudness","valence","tempo"
"UPTOWN FUNK","Mark Ronson","2015","591","32OlwWuMpZ6b0aN2RZOeMS","269666","82","0.856","0.609","-7.223","0.928","114.988"
"THINKING OUT LOUD","Ed Sheeran","2015","316","34gCuhDGsG4bRPIf9bb02f","281560","85","0.781","0.445","-6.061","0.591","78.998"
"SEE YOU AGAIN","Wiz Khalifa","2015","406","2JzZzZUQj3Qff7wapcbKjc","229525","80","0.689","0.481","-7.503","0.283","80.025"
"TRAP QUEEN","Fetty Wap","2015","528","2d8JP84HNLKhmd6IYOoupQ","222093","74","0.746","0.873","-3.803","0.817","148.075"
"SUGAR","Maroon 5","2015","447","2iuZJX9X9P0GKaE93xcPjk","235493","80","0.748","0.788","-7.055","0.884","120.076"
"SHUT UP AND DANCE","Walk The Moon","2015","349","4kbj5MwxO1bq9wjT5g9HaA","199080","80","0.578","0.866","-3.804","0.619","128.038"
"BLANK SPACE","Taylor Swift","2015","502","1p80LdxRV74UKvL8gnD7ky","231826","68","0.752","0.678","-5.421","0.583","96.009"
"EARNED IT","The Weeknd","2015","258","4frLb7nWtsz2ymBE6k2GRP","277680","70","0.647","0.291","-8.275","0.4","119.839"
"THE HILLS","The Weeknd","2015","451","7fBv7CLKzipRk6EC6TWHOB","242253","82","0.58","0.565","-7.065","0.138","112.986"
"CAN'T FEEL MY FACE","The Weeknd","2015","419","22VdIZQfgXJea34mQxlt81","213520","80","0.705","0.769","-5.526","0.59","107.939"
"LOVE ME LIKE YOU DO","Ellie Goulding","2015","330","2l8w0zZVn4AZNuzrht7MRT","252534","69","0.262","0.606","-6.646","0.275","189.857"
"TAKE ME TO CHURCH","Hozier","2015","429","1CS7Sd1u5tWkstBhpssyjP","241693","75","0.566","0.664","-5.303","0.437","128.945"
"BAD BLOOD","Taylor Swift","2015","474","273dCMFseLcVsoSWx59IoE","211933","65","0.652","0.802","-6.114","0.295","170.157"
"LEAN ON","Major Lazer","2015","278","5wldXGLEOoRXxMWJ8rIUWE","176561","72","0.723","0.809","-3.081","0.274","98.007"
"WANT TO WANT ME","Jason Derulo","2015","390","7oGZAicScQt96OAW4AruYy","207719","76","0.775","0.68","-5.508","0.656","114.025"
"SHAKE IT OFF","Taylor Swift","2015","564","5xTtaWoae3wi06K5WfVUUH","219200","68","0.648","0.785","-5.414","0.943","160.02"
"FIGHT SONG","Rachel Platten","2015","332","37f4ITSlgPX81ad2EvmVQr","204013","79","0.564","0.714","-4.987","0.33","175.924"
"679","Fetty Wap","2015","492","5NQbUaeTEOGdD6hHcre0dZ","196693","75","0.618","0.717","-5.738","0.603","190.05"
"LIPS ARE MOVIN","Meghan Trainor","2015","447","6gj08XDlv9Duc2fPOxUmVD","182666","67","0.775","0.825","-5.402","0.95","139.091"
"WORTH IT","Fifth Harmony","2015","607","41Fflg7qHiVOD6dEPvsCzO","224573","76","0.884","0.765","-3.865","0.594","99.987"
"POST TO BE","Omarion","2015","611","0fgZUSa7D7aVvv3GfO0A1n","226580","70","0.733","0.676","-5.655","0.701","97.448"
"HONEY, I'M GOOD.","Andy Grammer","2015","417","4MflGTO2ZTcSQ12bWcyRgI","199263","70","0.752","0.775","-7.289","0.595","122.014"
"I'M NOT THE ONLY ONE","Sam Smith","2015","244","7795WJLVKJoAyVoOtCWqXN","239316","83","0.677","0.485","-5.795","0.493","82.001"
"GOOD FOR YOU","Selena Gomez","2015","470","578Eooad7oUyn4stovZiPg","221280","64","0.607","0.673","-6.484","0.215","88.952"
"ALL ABOUT THAT BASS","Meghan Trainor","2015","440","0ifSeVGUr7py5GggttDhXw","188754","68","0.811","0.879","-3.724","0.962","134.064"
"STYLE","Taylor Swift","2015","377","4lIxdJw6W3Fg4vUIYCB0S5","231000","63","0.598","0.786","-5.572","0.456","95.021"
"HEY MAMA","David Guetta","2015","513","5b2bu6yyATC1zMXDGScJ2d","192560","61","0.596","0.73","-4.091","0.525","85.979"
"G.D.F.R.","Flo Rida","2015","379","157B3Zj5gt4JMMlglTXCDt","189874","18","0.639","0.643","-10.479","0.732","145.869"
"WHAT DO YOU MEAN?","Justin Bieber","2015","403","4B0JvthVoAAuygILe3n4Bs","205680","78","0.837","0.571","-8.273","0.801","125.034"
"PHOTOGRAPH","Ed Sheeran","2015","318","1HNkqx9Ahdgi1Ixy2xkKkL","258986","85","0.614","0.379","-10.48","0.201","107.989"
"STITCHES","Shawn Mendes","2015","368","5jsw9uXEGuKyJzs0boZ1bT","206880","73","0.746","0.754","-6.681","0.764","149.882"
"TALKING BODY","Tove Lo","2015","407","2tpfxAXiI52znho4WE3XFA","238426","66","0.736","0.761","-5.449","0.114","119.999"
"TIME OF OUR LIVES","Pitbull","2015","638","2bJvI42r8EF3wxjOuDav4r","229360","77","0.72","0.802","-5.797","0.723","124.043"
"SOMEBODY","Natalie La Rose","2015","423","7ioiB40H9xKs04QtIso2I3","189906","67","0.83","0.52","-8.714","0.735","104.99"
"CENTURIES","Fall Out Boy","2015","418","04aAxqtGp5pv12UXAg4pkq","228360","80","0.385","0.866","-2.817","0.551","176.014"
"MY WAY","Fetty Wap","2015","421","1WoOzgvz6CgH4pX6a1RKGp","213053","68","0.748","0.741","-3.103","0.537","128.077"
"ANIMALS","Maroon 5","2015","466","2bL2gyO6kBdLkNSkxXNh6x","231013","74","0.279","0.742","-6.46","0.328","189.868"
"I DON'T F**K WITH YOU","Big Sean","2015","876","7taXl2C2594pF4gjumrF4W","284413","42","0.815","0.724","-5.658","0.366","97.957"
"FLEX","Rich Homie Quan","2015","520","2LLFl56eIFGFlnrplUC26f","176674","64","0.728","0.62","-7.533","0.885","81.998"
"ONLY","Nicki Minaj","2015","879","4MRT0dDbhqFKl67WzhUbSw","312026","70","0.573","0.495","-7.245","0.255","179.196"
"ELASTIC HEART","Sia","2015","337","5S9lfZu1YF8xKkgSsqL2Bd","257200","69","0.421","0.791","-4.998","0.499","130.075"
"COOL FOR THE SUMMER","Demi Lovato","2015","340","2zFF6jG5hQArbzcXz3KUWk","214739","73","0.584","0.614","-5.587","0.28","114.075"
"RENEGADES","X Ambassadors","2015","144","0fYVliAYKHuPmECRs1pbRf","195200","75","0.526","0.862","-6.003","0.528","90.052"
"I DON'T MIND","Usher","2015","660","7aXuop4Qambx5Oi3ynsKQr","251989","71","0.87","0.464","-8.337","0.457","112.974"
"LOVE ME HARDER","Ariana Grande","2015","437","5J4ZkQpzMUFojo1CtAZYpn","236133","78","0.472","0.714","-4.389","0.24","98.992"
"WILDEST DREAMS","Taylor Swift","2015","333","59HjlYCeBsxdI0fcm3zglw","220440","65","0.553","0.664","-7.417","0.467","140.06"
"STAY WITH ME","Sam Smith","2015","164","5Nm9ERjJZ5oyfXZTECKmRt","172723","84","0.418","0.42","-6.444","0.184","84.094"
"YOU KNOW YOU LIKE IT","DJ Snake","2015","298","57kR5SniQIbsbVoIjjOUDa","247266","73","0.426","0.722","-5.369","0.25","196.133"
"UMA THURMAN","Fall Out Boy","2015","326","5PUawWFG1oIS2NwEcyHaCr","211573","71","0.623","0.956","-2.608","0.739","149.958"
"THE HEART WANTS WHAT IT WANTS","Selena Gomez","2015","399","2dRvMEW4EwySxRUtEamSfG","227360","73","0.616","0.789","-4.874","0.621","83.066"
"GIRL CRUSH","Little Big Town","2015","201","11qh54D0PKkBwelpDxxiEU","193320","67","0.5","0.225","-10.22","0.355","173.788"
"SLOW MOTION","Trey Songz","2015","261","4NYwy0R3NdvORX2B6OZXBT","197854","73","0.733","0.408","-7.834","0.291","94.947"
"DRAG ME DOWN","One Direction","2015","363","2K87XMYnUMqLcX3zvtAF4G","192120","75","0.73","0.703","-5.672","0.595","138.113"
"TRUFFLE BUTTER","Nicki Minaj","2015","497","3keUgTGEoZJt0QkzTB6kHg","219226","66","0.896","0.672","-6.875","0.523","105.098"
"ONE LAST TIME","Ariana Grande","2015","411","7xoUc6faLbCqZO6fQEYprd","197266","84","0.628","0.593","-5.036","0.104","125.026"
"ALL EYES ON YOU","Meek Mill","2015","542","0hy1SOTEn9ifXTzOwnCwEr","223973","72","0.589","0.658","-5.288","0.251","77.521"
"NO TYPE","Rae Sremmurd","2015","454","4scpF6J5uMBvoh6sFB7EL1","200080","75","0.888","0.483","-7.797","0.226","125.008"
"RIPTIDE","Vance Joy","2015","363","3JvrhDOgAt6p7K8mDyZwRd","204280","78","0.484","0.731","-6.694","0.51","101.654"
"DEAR FUTURE HUSBAND","Meghan Trainor","2015","360","3cU2wBxuV6nFiuf6PJZNlC","184226","70","0.655","0.782","-4.789","0.832","79.427"
"MARVIN GAYE","Charlie Puth","2015","322","6ukMqDxnOPOgoHdak7Kyp3","190453","73","0.795","0.616","-5.281","0.815","110.015"
